iter	Passed	Remaining
1513	6750	2934
1514	6755	2929
1515	6759	2924
1516	6763	2920
1517	6767	2915
1518	6771	2911
1519	6775	2906
1520	6779	2901
1521	6783	2896
1522	6788	2892
1523	6792	2888
1524	6796	2883
1525	6801	2879
1526	6805	2874
1527	6810	2870
1528	6815	2866
1529	6820	2861
1530	6824	2857
1531	6827	2852
1532	6831	2847
1533	6837	2843
1534	6841	2839
1535	6845	2834
1536	6849	2829
1537	6853	2825
1538	6857	2820
1539	6862	2816
1540	6870	2813
1541	6874	2808
1542	6879	2804
1543	6885	2800
1544	6889	2796
1545	6893	2791
1546	6898	2787
1547	6903	2782
1548	6907	2778
1549	6911	2773
1550	6916	2769
1551	6920	2764
1552	6924	2760
1553	6928	2755
1554	6933	2751
1555	6937	2746
1556	6942	2742
1557	6947	2737
1558	6952	2733
1559	6957	2729
1560	6962	2725
1561	6968	2721
1562	6973	2717
1563	6978	2712
1564	6983	2708
1565	6987	2704
1566	6992	2699
1567	6998	2695
1568	7003	2691
1569	7007	2686
1570	7013	2683
1571	7017	2678
1572	7021	2673
1573	7026	2669
1574	7030	2665
1575	7034	2660
1576	7039	2655
1577	7044	2651
1578	7049	2647
1579	7053	2642
1580	7057	2638
1581	7063	2634
1582	7067	2629
1583	7072	2625
1584	7078	2621
1585	7082	2616
1586	7087	2612
1587	7093	2608
1588	7097	2604
1589	7101	2599
1590	7106	2595
1591	7110	2590
1592	7115	2586
1593	7119	2581
1594	7125	2577
1595	7129	2572
1596	7133	2568
1597	7137	2563
1598	7143	2559
1599	7147	2555
1600	7151	2550
1601	7157	2546
1602	7162	2542
1603	7167	2538
1604	7172	2533
1605	7176	2529
1606	7181	2524
1607	7187	2521
1608	7193	2517
1609	7199	2512
1610	7205	2509
1611	7210	2504
1612	7215	2500
1613	7222	2497
1614	7227	2492
1615	7232	2488
1616	7236	2483
1617	7241	2479
1618	7245	2474
1619	7251	2470
1620	7256	2466
1621	7260	2461
1622	7264	2457
1623	7269	2453
1624	7273	2448
1625	7278	2443
1626	7283	2439
1627	7288	2435
1628	7292	2430
1629	7297	2426
1630	7304	2422
1631	7310	2418
1632	7316	2414
1633	7321	2410
1634	7325	2406
1635	7334	2403
1636	7339	2398
1637	7344	2394
1638	7349	2390
1639	7354	2385
1640	7359	2381
1641	7364	2377
1642	7370	2373
1643	7374	2368
1644	7380	2364
1645	7385	2360
1646	7389	2355
1647	7393	2350
1648	7397	2346
1649	7401	2341
1650	7406	2337
1651	7410	2332
1652	7416	2328
1653	7421	2324
1654	7425	2319
1655	7429	2315
1656	7434	2310
1657	7438	2305
1658	7442	2301
1659	7447	2296
1660	7451	2292
1661	7455	2287
1662	7460	2283
1663	7464	2278
1664	7468	2274
1665	7473	2269
1666	7478	2265
1667	7483	2261
1668	7489	2257
1669	7495	2253
1670	7500	2248
1671	7506	2244
1672	7511	2240
1673	7517	2236
1674	7522	2232
1675	7528	2228
1676	7533	2223
1677	7538	2219
1678	7544	2215
1679	7553	2212
1680	7565	2209
1681	7571	2205
